ID;Document;Organization name ;Country;Date;Title;Year ;Link;Language ;
1;PDF;A2A;ITALY;31/05/19;Integrated Report 2018;2019;https://database.globalreporting.org/reports/64605/;ITALIAN;
2;PDF;ACEA;ITALY;06/05/20;Bilancio di Sostenibilità Gruppo ACEA;2020;https://database.globalreporting.org/reports/78092/;ITALIAN;
3;PDF;Acquevenete;ITALY;22/01/20;Bilancio di Sostenibilità 2017 - DNF;2018;https://database.globalreporting.org/reports/75124/;ITALIAN;
4;PDF;Aeroporto di Bologna;ITALY;22/05/20;Consolidate Disclosure of Non-Financial Information 2019;2020;https://database.globalreporting.org/reports/78577/;ENGLISH;
5;PDF;Alperia;ITALY;12/07/20;Sustainability Report 2019;2020;https://database.globalreporting.org/reports/79861/;ENGLISH;
6;PDF;AMIU Genova;ITALY;11/10/20;Bilancio Sostenibilità 2019;2020;https://database.globalreporting.org/reports/80763/;ITALIAN;
7;PDF;Aspiag Service Despar Nordest;ITALY;08/09/20;Integrated Report 2019;2020;https://database.globalreporting.org/reports/80539/;ENGLISH;
8;PDF;ATM;ITALY;22/01/20;Dichiarazione Consolidata di Carattere Non Finanziario;2018;https://database.globalreporting.org/reports/75125/;ITALIAN;
9;PDF;Autostrada del Brennero;ITALY;17/02/20;Bilancio di Sostenibilità 2017 2018;2019;https://database.globalreporting.org/reports/75947/;ITALIAN;
10;PDF;Banca di Asti;ITALY;06/05/20;Dichiarazione Consolidata di Carattere Non Finanziario 2019;2020;https://database.globalreporting.org/reports/78099/;ITALIAN;
11;PDF;Banca Intermobiliare di Investimenti e Gestioni;ITALY;22/01/20;Dichiarazione Consolidata di Carattere Non Finanziario 2017;2018;https://database.globalreporting.org/reports/75105/;ITALIAN;
12;PDF;Banca La Valsabbina;ITALY;21/01/20;Dichiarazione non finanziaria al 31/12/2017;2018;https://database.globalreporting.org/reports/75057/;ITALIAN;
13;PDF;Banca Mediolanum;ITALY;24/05/19;Consolidate Non Financial Statement 2018;2019;https://database.globalreporting.org/reports/64309/;ITALIAN;
14;PDF;Banca Monte dei Paschi di Siena;ITALY;15/09/20;Dichiarazione non Finanziaria Consolidata 2019;2020;https://database.globalreporting.org/reports/80659/;ITALIAN;
15;PDF;Banco Desio;ITALY;09/09/20;Bilancio di Sostenibilità 2019;2020;https://database.globalreporting.org/reports/80559/;ITALIAN;
16;PDF;BCP - Banca di Credito Popolare;ITALY;21/01/20;Report di Sostenibilità 2017 - DNF;2018;https://database.globalreporting.org/reports/74884/;ITALIAN;
17;PDF;Biesse Group;ITALY;06/05/20;Biesse Group Sustainability Report 2019;2020;https://database.globalreporting.org/reports/78103/;ENGLISH;
18;PDF;BPP;ITALY;28/06/20;Dichiarazione consolidata di carattere non finanziario 2019;2020;https://database.globalreporting.org/reports/79644/;ITALIAN;
19;PDF;Brunello Cucinelli;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario2017;2018;https://database.globalreporting.org/reports/75107/;ITALIAN;
20;PDF;Cementir Holding;ITALY;06/05/20;Sustainability Report - Non Financial Statements 2019;2020;https://database.globalreporting.org/reports/78098/;ENGLISH;
21;PDF;Cerved Group;ITALY;22/05/20;Cerved Group Sustainability Report 2019;2020;https://database.globalreporting.org/reports/78572/;ENGLISH;
22;PDF;Cerved Information Solutions;ITALY;22/01/20;Bilancio di Sostenibilità 2017;2018;https://database.globalreporting.org/reports/75128/;ITALIAN;
23;PDF;Chiesi Group ;ITALY;01/09/20;The way we act - Sustainability Report 2019;2020;https://database.globalreporting.org/reports/80463/;ENGLISH;
24;PDF;Coldiretti Verona;ITALY;09/07/20;Report di Sostenibilità 2018;2019;https://database.globalreporting.org/reports/79827/;ITALIAN;
25;PDF;Contship Italia;ITALY;29/06/18;Sustainability Report 2017;2018;https://database.globalreporting.org/reports/57648/;ENGLISH;
26;PDF;Corporate Social Responsability 3 Srl SB;ITALY;21/07/19;Relazione Annuale 2018 - Concernente il perseguimento del beneficio comune;2019;https://database.globalreporting.org/reports/65476/;ITALIAN;
27;PDF;Credem;ITALY;11/07/19;Dichiarazione Consolidata di Carattere Non Finanziario 2018;2019;https://database.globalreporting.org/reports/65302/;ITALIAN;
28;PDF;Credito Valtellinese;ITALY;08/05/20;Dichiarazione consolidata di carattere non finanziario;2020;https://database.globalreporting.org/reports/78159/;ITALIAN;
29;PDF;Deco;ITALY;27/01/20;Per mano, insieme sulla via della sostenibilità;2019;https://database.globalreporting.org/reports/75372/;ITALIAN;
30;PDF;Do Bank;ITALY;21/01/20;Dichiarazione Consolidata non Finanziaria - 2017;2018;https://database.globalreporting.org/reports/74979/;ITALIAN;
31;PDF;Edison;ITALY;21/01/20;Dichiarazione Consolidata di Carattere Non Finanziario 2017;2018;https://database.globalreporting.org/reports/74929/;ITALIAN;
32;PDF;EI Towers;ITALY;12/06/19;Sustainability Report 2018;2019;https://database.globalreporting.org/reports/64838/;ITALIAN;
33;PDF;El.En.;ITALY;07/07/19;Consolidated Non-Financial Statement 2018;2019;https://database.globalreporting.org/reports/65238/;ENGLISH;
34;PDF;Elettronica;ITALY;15/10/20;Corporate Social Responsibility 2019;2020;https://database.globalreporting.org/reports/80876/;ENGLISH;
35;PDF;Emak;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario 2017;2018;https://database.globalreporting.org/reports/75096/;ITALIAN;
36;PDF;Enel;ITALY;10/06/20;Open Power for a Brighter Future, Open Power for a Brighter Future: Sustainability Report 2019;2020;https://database.globalreporting.org/reports/79224/;ENGLISH;
37;PDF;Eni;ITALY;20/05/20;Eni For 2019 - A Just Transition;2020;https://database.globalreporting.org/reports/78486/;ENGLISH;
38;PDF;Esprinet;ITALY;30/09/20;Bilancio di Sostenibilità 2019;2020;https://database.globalreporting.org/reports/80718/;ITALIAN;
39;PDF;Eurosuole;ITALY;05/11/19;Sustainability Report 2018;2019;https://database.globalreporting.org/reports/73493/;ENGLISH;
40;PDF;Fastweb;ITALY;06/02/20;Sustainability Report 2018;2019;https://database.globalreporting.org/reports/75707/;ENGLISH;
41;PDF;Ferrari;ITALY;08/07/20;Sustainability Report 2019;2020;https://database.globalreporting.org/reports/79821/;ENGLISH;
42;PDF;Fiat Chrysler Automobiles (FCA);ITALY;16/05/19;FCA 2018 Sustainability Report;2019;https://database.globalreporting.org/reports/64007/;ENGLISH;
43;PDF;Fideuram;ITALY;29/09/20;Annual Report Integrato 2019;2020;https://database.globalreporting.org/reports/80703/;ITALIAN;
44;PDF;Fila Group;ITALY;21/01/20;Dichiarazione Consolidata di Carattere Non Finanziario 2017;2018;https://database.globalreporting.org/reports/74997/;ITALIAN;
45;PDF;Fincantieri;ITALY;01/05/20;Sustainability Report 2019;2020;https://database.globalreporting.org/reports/78012/;ENGLISH;
46;PDF;Fondazione EY Italia Onlus;ITALY;12/02/20;Il Valore dell'Armonia - Rapporto di Missione 2019;2020;https://database.globalreporting.org/reports/75868/;ITALIAN;
47;PDF;Gedi;ITALY;28/07/19;Sustainability Report 2018;2019;https://database.globalreporting.org/reports/65707/;ENGLISH;
48;PDF;Generali Group;ITALY;09/07/19;Annual Integrated Report and Consolidated Financial Statement 2018;2019;https://database.globalreporting.org/reports/65289/;ENGLISH;
49;PDF;Gruppo Avio;ITALY;20/01/20;Dichiarazione Consolidata di Carattere Non Finanziario 2017;2018;https://database.globalreporting.org/reports/74933/;ITALIAN;
50;PDF;Gruppo Banca Carige;ITALY;12/04/19;Dichiarazione Non Finanziaria 2018 Gruppo Banca Carige;2019;https://database.globalreporting.org/reports/63116/;ITALIAN;
51;PDF;Gruppo Bancario Cooperativo Iccrea;ITALY;26/08/20;Dichiarazione Consolidata di carattere non finanziario 2019;2020;https://database.globalreporting.org/reports/80368/;ITALIAN;
52;PDF;Gruppo Banca Sella;ITALY;13/01/20;Dichiarazione non Finanziaria Consolidata - Esercizio 2017;2018;https://database.globalreporting.org/reports/75069/;ITALIAN;
53;PDF;Gruppo Banco Desio;ITALY;21/01/20;Bilancio di Sostenibilità 2017 - DNF;2018;https://database.globalreporting.org/reports/74990/;ITALIAN;
54;PDF;Gruppo Campari;ITALY;21/01/20;Relazione sulla Sostenibilità 2017 - DNF;2018;https://database.globalreporting.org/reports/74897/;ITALIAN;
55;PDF;Gruppo CAP;ITALY;07/06/20;Non-Financial Disclosure 2019;2020;https://database.globalreporting.org/reports/79057/;ITALIAN;
56;PDF;Gruppo Cariparma;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario 2017;2018;https://database.globalreporting.org/reports/75139/;ITALIAN;
57;PDF;Gruppo Creditizio Banca Popolare di Bari;ITALY;22/01/20;Bilancio 2017;2018;https://database.globalreporting.org/reports/75091/;ITALIAN;
58;PDF;Gruppo El.En.;ITALY;29/09/20;Sustainability Report 2019;2020;https://database.globalreporting.org/reports/80704/;ENGLISH;
59;PDF;Gruppo Fiera Milano;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario 2017;2018;https://database.globalreporting.org/reports/75115/;ITALIAN;
60;PDF;Gruppo FNM;ITALY;16/07/18;Bilancio di Sostenibilità 2017 (DNF);2018;https://database.globalreporting.org/reports/58150/;ITALIAN;
61;PDF;Gruppo Geox - Respira;ITALY;21/01/20;Dichiarazione Consolidata di Carattere Non Finanziario 2017;2018;https://database.globalreporting.org/reports/75025/;ITALIAN;
62;PDF;Gruppo Hera;ITALY;28/08/19;Sustainability report 2018;2019;https://database.globalreporting.org/reports/66752/;ENGLISH;
63;PDF;Gruppo Mezzacorona;ITALY;09/10/19;Sustainability Report 2018;2019;https://database.globalreporting.org/reports/70157/;ITALIAN;
64;PDF;Gruppo Pininfarina;ITALY;21/01/20;Dichiarazione Consolidata di carattere Non Finanziario al 31 dicembre 2017;2018;https://database.globalreporting.org/reports/74889/;ITALIAN;
65;PDF;Gruppo RAI Radiotelevisione Italiana;ITALY;21/01/20;Dichiarazione Consolidata di Carattere non Finanziario 2017;2018;https://database.globalreporting.org/reports/75015/;ITALIAN;
66;PDF;Gruppo Saes;ITALY;21/01/20;Dichiarazione consolidata di carattere non finanziario 2016;2017;https://database.globalreporting.org/reports/74943/;ITALIAN;
67;PDF;Gruppo SGR;ITALY;08/07/20;Bilancio di Sostenibilità 2019;2020;https://database.globalreporting.org/reports/79817/;ITALIAN;
68;PDF;Gruppo Snaitech;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario 2017;2018;https://database.globalreporting.org/reports/75142/;ITALIAN;
69;PDF;Gruppo Sol;ITALY;20/05/20;2017 Sustainability Report SOL Group;2018;https://database.globalreporting.org/reports/78506/;ENGLISH;
70;PDF;Gruppo Stefanel;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario;2018;https://database.globalreporting.org/reports/75137/;ITALIAN;
71;PDF;ICAM;ITALY;25/08/20;Bilancio di Sostenibilità 2019;2020;https://database.globalreporting.org/reports/80340/;ENGLISH - ITALIAN;
72;PDF;Impresa Pizzarotti e C.;ITALY;21/01/20;Dichiarazione Consolidata di Carattere non Finanziario;2018;https://database.globalreporting.org/reports/74909/;ITALIAN;
73;PDF;Intercos;ITALY;15/03/20;Consolidated disclosure of non financial information 2019;2020;https://database.globalreporting.org/reports/76445/;ENGLISH;
